   2   1 3.32-02
   3   1 9.76+07
   4   1 1.00-30
   5   1 5.23+08
   6   1 7.61-03
   7   1 2.16-07
   8   1 1.29+03
   9   1 3.46-02
  10   1 1.03+03
  11   1 1.00-30
  12   1 2.48-02
  13   1 1.06+03
  14   1 1.21-01
  15   1 1.00-30
  16   1 1.00-30
  17   1 4.69+06
  18   1 2.30-01
  19   1 1.00-30
  20   1 1.46-02
  21   1 8.06-03
  22   1 1.06-04
  23   1 2.76-02
  24   1 2.93+07
  25   1 3.15+08
  26   1 1.47-02
  27   1 1.58-02
  28   1 3.46-03
  29   1 1.00-30
  30   1 4.64+03
  31   1 2.73+08
  32   1 4.17-03
  33   1 1.55-07
  34   1 1.11+03
  35   1 5.98-03
  36   1 3.01+02
  37   1 1.00-30
  38   1 1.00-30
  39   1 1.20+07
  40   1 1.00-30
  41   1 1.05-01
  42   1 1.08-01
  43   1 1.10-03
  44   1 4.65+02
  45   1 1.17-02
  46   1 1.16-02
  47   1 1.00-30
  48   1 1.31-01
  49   1 2.17+08
  50   1 1.00-30
  51   1 2.55+01
  52   1 1.00-30
  53   1 6.76-06
  54   1 1.00-30
  55   1 2.12+01
  56   1 1.00-30
  57   1 1.48-06
   3   2 1.02-02
   4   2 3.43-07
   5   2 1.10-01
   6   2 2.44+07
   7   2 3.96+07
   8   2 1.10+07
   9   2 6.29+06
  10   2 2.93+07
  11   2 9.69-05
  12   2 6.08+05
  13   2 2.76+06
  14   2 5.55+06
  15   2 9.89-05
  16   2 6.26+01
  17   2 5.49+01
  18   2 3.73+01
  19   2 7.74+01
  20   2 3.65+01
  21   2 2.14+01
  22   2 4.10+00
  23   2 4.30+01
  24   2 2.28+00
  25   2 9.29+00
  26   2 6.66+00
  27   2 1.19+01
  28   2 1.66+01
  29   2 2.35+00
  30   2 3.84+00
  31   2 3.61+00
  32   2 6.48+06
  33   2 9.31+06
  34   2 1.91+06
  35   2 1.78+06
  36   2 9.14+06
  37   2 1.64-04
  38   2 2.97+00
  39   2 6.77+00
  40   2 1.60+01
  41   2 1.33+01
  42   2 1.37+01
  43   2 4.66+03
  44   2 4.83+04
  45   2 3.30+05
  46   2 1.54+01
  47   2 1.82-05
  48   2 3.48+01
  49   2 7.49+00
  50   2 2.53+03
  51   2 1.38+04
  52   2 1.53-05
  53   2 2.58-06
  54   2 4.16+04
  55   2 3.96+03
  56   2 6.68-02
  57   2 7.29-06
   4   3 4.10-02
   5   3 2.22-02
   6   3 6.39+06
   7   3 9.63-07
   8   3 2.21+07
   9   3 2.67+07
  10   3 4.98+06
  11   3 4.61+07
  12   3 2.04+05
  13   3 1.15+07
  14   3 3.49+06
  15   3 3.24+05
  16   3 1.11-02
  17   3 8.06+00
  18   3 2.09+01
  19   3 4.66-12
  20   3 3.99+01
  21   3 5.00+01
